epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.842,0.79633,1.77041,1.20347,0.83572,0.83158,0.91643,0.76977,0.59589,2.47481,1.14775,0.000651515,0.000651515,0.000651515
2,438.086,0.71517,1.24592,1.11518,0.90101,0.76923,0.91533,0.68377,0.91192,2.22034,1.61544,0.00129208,0.00129208,0.00129208
3,671.73,0.71957,1.17049,1.1023,0.58482,0.76923,0.74431,0.61163,0.65716,3.35336,1.22518,0.00190625,0.00190625,0.00190625
4,869.469,0.78897,1.07183,1.14619,0.81353,0.875,0.92679,0.71656,0.7137,1.69089,1.3499,0.0018812,0.0018812,0.0018812
5,1068.7,0.75636,0.98805,1.12795,0.8068,0.92308,0.9464,0.66937,0.73662,2.4854,1.4117,0.0018416,0.0018416,0.0018416
6,1293.82,0.73036,0.90096,1.11588,0.96331,0.91346,0.97649,0.79824,0.70251,1.46584,1.24003,0.001802,0.001802,0.001802
